Timestamp_ms,MotorLeft_Vel,MotorRight_Vel,AccelX,AccelY,AccelZ
1400788,0.00,-0.07,0.36,0.05,9.79
1400798,-0.05,-0.04,0.37,0.07,9.80
1400808,-0.03,-0.09,0.34,0.05,9.76
1400818,-0.02,-0.06,0.36,0.06,9.79
1400828,-0.07,-0.08,0.35,0.10,9.82
1400838,-0.04,-0.11,0.37,0.12,9.79
1400848,-0.09,-0.13,0.33,0.18,9.84
1400858,-0.12,-0.14,0.38,0.15,9.86
1400868,-0.13,-0.21,0.37,0.11,9.81
1400878,-0.14,-0.19,0.37,0.14,9.83
1400888,-0.20,-0.17,0.38,0.09,9.86
1400898,-0.24,-0.22,0.38,0.13,9.85
1400908,-0.26,-0.24,0.40,0.11,9.83
1400918,-0.40,-0.27,0.36,0.18,9.92
1400928,-0.42,-0.30,0.40,0.19,9.87
1400938,-0.55,-0.36,0.38,0.24,9.95
1400948,-0.65,-0.35,0.34,0.18,9.91
1400958,-0.69,-0.40,0.37,0.18,9.96
1400968,-0.84,-0.49,0.38,0.15,9.89
1400978,-0.97,-0.48,0.34,0.14,10.04
1400988,-1.02,-0.54,0.62,0.20,9.74
1400998,-1.11,-0.57,0.49,0.22,9.95
1401008,-1.16,-0.64,0.35,0.15,10.05
1401018,-1.19,-0.74,0.36,0.02,9.96
1401028,-1.30,-0.94,0.29,-0.17,10.01
1401038,-1.31,-1.12,0.38,-0.28,9.89
1401048,-1.39,-1.22,0.23,-0.35,9.89
1401058,-1.45,-1.40,0.31,-0.17,9.92
1401068,-1.60,-1.55,0.49,-0.04,9.89
1401078,-1.64,-1.64,0.35,0.00,10.05
1401088,-1.66,-1.71,0.44,0.08,9.87
1401098,-1.67,-1.82,0.48,0.30,9.77
1401108,-1.71,-1.88,0.32,0.43,9.91
1401118,-1.79,-1.96,0.32,0.45,9.88
1401128,-1.92,-2.01,0.35,0.30,9.73
1401138,-1.98,-2.14,0.46,0.30,9.90
1401148,-2.02,-2.07,0.59,-0.34,9.55
1401158,-1.99,-1.96,0.37,-0.35,9.96
1401168,-2.00,-1.85,0.59,-0.20,9.74
1401178,-1.94,-1.77,0.44,0.42,9.49
1401188,-1.85,-1.74,0.37,0.52,9.80
1401198,-1.79,-1.67,0.34,0.55,9.55
1401208,-1.77,-1.70,0.24,0.41,9.89
1401218,-1.73,-1.76,0.16,0.12,9.88
1401228,-1.72,-1.81,0.38,-0.39,9.66
1401238,-1.76,-1.82,0.16,-0.57,10.10
1401248,-1.75,-1.78,0.46,-0.75,9.83
1401258,-1.72,-1.78,0.37,-0.55,9.99
1401268,-1.66,-1.79,0.19,0.21,9.91
1401278,-1.65,-1.85,0.33,0.72,9.65
1401288,-1.69,-1.93,0.21,1.10,9.93
1401298,-1.74,-1.96,0.25,0.85,9.71
1401308,-1.77,-1.90,0.30,0.29,9.71
1401318,-1.84,-1.85,0.25,-0.04,9.98
1401328,-1.82,-1.77,0.44,-0.24,9.50
